City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Svetlogorsk,52.6333,29.7333,44.19,93,100,20.65,BY,2022-10-02 21:53:54
1,Aktau,43.65,51.2,61.38,25,77,27.09,KZ,2022-10-02 21:53:54
2,Bambous Virieux,-20.3428,57.7575,71.22,73,75,6.91,MU,2022-10-02 21:53:55
3,Hilo,19.7297,-155.09,90.28,70,0,8.05,US,2022-10-02 21:52:54
4,Vaini,-21.2,-175.2,78.96,83,75,8.05,TO,2022-10-02 21:53:55
5,Mataura,-46.1927,168.8643,47.48,96,78,10.04,NZ,2022-10-02 21:53:55
6,Cherskiy,68.75,161.3,27.59,92,100,11.21,RU,2022-10-02 21:53:55
7,Rikitea,-23.1203,-134.9692,74.61,64,10,3.11,PF,2022-10-02 21:53:56
8,Bluff,-46.6,168.3333,47.8,64,98,19.86,NZ,2022-10-02 21:53:56
9,Hobart,-42.8794,147.3294,49.26,90,75,8.05,AU,2022-10-02 21:53:56
10,Fare,-16.7,-151.0167,78.73,71,63,13.11,PF,2022-10-02 21:53:57
11,Hermanus,-34.4187,19.2345,55.8,83,3,11.43,ZA,2022-10-02 21:53:57
12,Longyearbyen,78.2186,15.6401,35.44,93,75,3.44,SJ,2022-10-02 21:53:57
13,Caravelas,-17.7125,-39.2481,73.65,87,22,7.47,BR,2022-10-02 21:53:52
14,Ushuaia,-54.8,-68.3,47.86,43,0,3.44,AR,2022-10-02 21:53:58
15,Aqtobe,50.2797,57.2072,37.49,48,0,0.0,KZ,2022-10-02 21:53:58
16,Narsaq,60.9167,-46.05,33.58,63,45,2.95,GL,2022-10-02 21:53:58
17,Ribeira Grande,38.5167,-28.7,71.82,88,100,10.85,PT,2022-10-02 21:53:59
18,Roma,43.2128,-75.4557,60.94,45,0,8.05,US,2022-10-02 21:50:38
19,Kodiak,57.79,-152.4072,50.63,75,91,12.55,US,2022-10-02 21:53:59
20,Ustye,59.6304,39.736,43.65,96,100,5.17,RU,2022-10-02 21:53:59
21,Tiznit,29.5833,-9.5,75.4,36,0,2.3,MA,2022-10-02 21:54:00
22,Bredasdorp,-34.5322,20.0403,52.77,92,9,6.08,ZA,2022-10-02 21:54:00
23,Severo-Kurilsk,50.6789,156.125,46.76,66,97,9.46,RU,2022-10-02 21:54:00
24,Buncrana,55.1333,-7.45,55.17,89,86,5.41,IE,2022-10-02 21:54:01
25,Aimores,-19.4958,-41.0639,76.53,72,50,10.36,BR,2022-10-02 21:54:01
26,Otjiwarongo,-20.4637,16.6477,72.28,15,0,10.67,NA,2022-10-02 21:54:01
27,Maragogi,-9.0122,-35.2225,74.8,80,40,9.69,BR,2022-10-02 21:54:02
28,Butaritari,3.0707,172.7902,81.64,77,58,14.7,KI,2022-10-02 21:54:02
29,Vinh,18.6667,105.6667,74.77,93,87,4.34,VN,2022-10-02 21:54:02
30,Noyabrsk,63.1994,75.4507,30.94,75,100,15.05,RU,2022-10-02 21:54:03
31,Albany,42.6001,-73.9662,55.33,65,100,9.08,US,2022-10-02 21:49:38
32,Victoria,22.2855,114.1577,83.32,88,14,5.99,HK,2022-10-02 21:51:19
33,Jamestown,42.097,-79.2353,55.04,74,20,16.11,US,2022-10-02 21:54:03
34,Oum Hadjer,13.2954,19.6966,85.48,49,17,11.16,TD,2022-10-02 21:54:04
