City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Svetlogorsk,BY,2022-10-02 22:56:49,52.6333,29.7333,43.47,93,100,22.32
1,Aktau,KZ,2022-10-02 22:56:49,43.65,51.2,59.58,25,67,26.73
2,Bambous Virieux,MU,2022-10-02 22:56:49,-20.3428,57.7575,71.22,73,20,10.36
3,Hilo,US,2022-10-02 22:55:20,19.7297,-155.09,88.29,77,0,4.0
4,Vaini,TO,2022-10-02 22:56:34,-21.2,-175.2,78.96,73,75,9.22
5,Mataura,NZ,2022-10-02 22:55:11,-46.1927,168.8643,47.48,89,72,9.93
6,Cherskiy,RU,2022-10-02 22:56:50,68.75,161.3,28.17,90,100,11.97
7,Rikitea,PF,2022-10-02 22:56:50,-23.1203,-134.9692,74.82,63,8,3.83
8,Bluff,NZ,2022-10-02 22:56:51,-46.6,168.3333,47.8,53,94,20.11
9,Hobart,AU,2022-10-02 22:52:07,-42.8794,147.3294,53.26,82,75,8.05
10,Fare,PF,2022-10-02 22:56:51,-16.7,-151.0167,78.78,71,63,12.82
11,Hermanus,ZA,2022-10-02 22:54:13,-34.4187,19.2345,57.49,82,5,11.45
12,Longyearbyen,SJ,2022-10-02 22:56:51,78.2186,15.6401,37.24,93,75,3.44
13,Caravelas,BR,2022-10-02 22:56:52,-17.7125,-39.2481,73.72,89,21,7.81
14,Ushuaia,AR,2022-10-02 22:56:52,-54.8,-68.3,46.06,53,0,4.61
15,Aqtobe,KZ,2022-10-02 22:56:52,50.2797,57.2072,35.69,51,0,6.71
16,Narsaq,GL,2022-10-02 22:56:53,60.9167,-46.05,33.03,62,40,3.83
17,Ribeira Grande,PT,2022-10-02 22:56:53,38.5167,-28.7,71.74,88,100,9.91
18,Roma,US,2022-10-02 22:55:13,43.2128,-75.4557,55.38,56,99,3.0
19,Kodiak,US,2022-10-02 22:56:53,57.79,-152.4072,50.7,73,93,12.57
20,Ustye,RU,2022-10-02 22:56:53,59.6304,39.736,43.54,96,100,5.73
21,Tiznit,MA,2022-10-02 22:56:54,29.5833,-9.5,74.91,37,0,2.37
22,Bredasdorp,ZA,2022-10-02 22:56:54,-34.5322,20.0403,52.32,92,16,6.2
23,Severo-Kurilsk,RU,2022-10-02 22:56:55,50.6789,156.125,47.55,64,97,10.18
24,Buncrana,IE,2022-10-02 22:56:55,55.1333,-7.45,53.37,87,89,5.21
25,Aimores,BR,2022-10-02 22:56:55,-19.4958,-41.0639,75.43,75,43,7.7
26,Otjiwarongo,NA,2022-10-02 22:56:55,-20.4637,16.6477,70.21,17,0,8.05
27,Maragogi,BR,2022-10-02 22:56:56,-9.0122,-35.2225,74.57,79,35,9.4
28,Butaritari,KI,2022-10-02 22:56:56,3.0707,172.7902,82.35,75,66,16.51
29,Vinh,VN,2022-10-02 22:56:56,18.6667,105.6667,74.7,93,89,4.52
30,Noyabrsk,RU,2022-10-02 22:56:57,63.1994,75.4507,30.9,75,100,15.57
31,Albany,US,2022-10-02 22:51:59,42.6001,-73.9662,52.39,65,100,8.5
32,Victoria,HK,2022-10-02 22:55:19,22.2855,114.1577,83.32,88,14,5.01
33,Jamestown,US,2022-10-02 22:55:44,42.097,-79.2353,53.53,79,20,10.36
34,Oum Hadjer,TD,2022-10-02 22:56:57,13.2954,19.6966,81.45,61,19,18.5
35,Castro,BR,2022-10-02 22:56:57,-24.7911,-50.0119,61.21,86,60,3.78
36,Port Alfred,ZA,2022-10-02 22:55:24,-33.5906,26.891,62.19,97,7,1.99
37,Muyezerskiy,RU,2022-10-02 22:56:58,63.9333,31.65,42.17,97,100,2.28
38,Pemba,MZ,2022-10-02 22:55:09,-12.974,40.5178,75.04,73,2,7.16
39,Port-Gentil,GA,2022-10-02 22:56:58,-0.7193,8.7815,78.76,89,75,6.91
40,Craig,US,2022-10-02 22:54:12,40.5153,-107.5464,60.42,30,87,13.0
41,Teya,RU,2022-10-02 22:56:59,60.3778,92.6267,29.75,85,100,4.5
42,Erzin,TR,2022-10-02 22:56:59,36.9559,36.2,72.5,82,24,2.1
43,Mountain Home,US,2022-10-02 22:55:21,43.133,-115.6912,72.88,23,0,0.0
44,Kaitangata,NZ,2022-10-02 22:56:59,-46.2817,169.8464,48.07,77,63,15.66
45,Saskylakh,RU,2022-10-02 22:58:00,71.9167,114.0833,26.33,94,100,13.87
46,Arraial Do Cabo,BR,2022-10-02 22:58:00,-22.9661,-42.0278,69.66,94,75,10.36
47,Bilma,NE,2022-10-02 22:58:00,18.6853,12.9164,90.32,12,0,7.36
48,Farim,GW,2022-10-02 22:58:00,12.4839,-15.2217,75.33,93,89,3.15
49,Qaanaaq,GL,2022-10-02 22:56:32,77.484,-69.3632,8.53,73,18,7.72
50,Atuona,PF,2022-10-02 22:58:01,-9.8,-139.0333,76.98,75,22,17.07
51,Brae,GB,2022-10-02 22:58:01,60.3964,-1.353,53.69,90,77,19.3
52,Cockburn Town,TC,2022-10-02 22:58:01,21.4612,-71.1419,83.5,72,99,4.83
53,Aksha,RU,2022-10-02 22:58:02,50.2814,113.2867,25.86,68,16,10.42
54,Bonavista,CA,2022-10-02 22:57:47,48.6499,-53.1147,46.45,60,93,15.88
55,Haines Junction,CA,2022-10-02 22:58:02,60.7522,-137.5108,58.95,31,63,14.97
56,East London,ZA,2022-10-02 22:55:08,-33.0153,27.9116,66.85,93,23,10.38
57,Sorland,NO,2022-10-02 22:58:03,67.667,12.6934,51.66,87,100,15.41
58,Hamilton,US,2022-10-02 22:53:30,39.1834,-84.5333,67.08,61,0,3.0
59,Carnarvon,AU,2022-10-02 22:56:37,-24.8667,113.6333,64.13,62,0,15.55
60,Lebu,CL,2022-10-02 22:58:03,-37.6167,-73.65,51.48,84,80,4.74
61,Znamenskoye,RU,2022-10-02 22:58:03,57.1281,73.8282,27.01,84,8,5.06
62,Barrow,US,2022-10-02 22:58:04,71.2906,-156.7887,26.62,80,75,13.8
63,Saint-Augustin,CA,2022-10-02 22:58:04,51.226,-58.6502,41.4,47,61,11.1
64,Khatanga,RU,2022-10-02 22:54:33,71.9667,102.5,24.19,96,100,10.87
65,Poronaysk,RU,2022-10-02 22:58:04,49.2167,143.1167,54.93,82,94,9.37
66,Labuhan,ID,2022-10-02 22:58:05,-6.8844,112.2051,78.51,83,94,7.65
67,Birao,CF,2022-10-02 22:58:05,10.2849,22.7882,69.91,91,100,2.08
68,Mayo,US,2022-10-02 22:58:05,38.8876,-76.5119,56.08,94,100,11.01
69,Cape Town,ZA,2022-10-02 22:57:07,-33.9258,18.4232,60.89,83,40,5.75
70,Taybad,IR,2022-10-02 22:58:06,34.74,60.7756,57.25,30,0,5.95
71,Kapaa,US,2022-10-02 22:58:06,22.0752,-159.319,83.19,80,85,7.0
72,Cayenne,GF,2022-10-02 22:58:06,4.9333,-52.3333,82.44,78,0,3.44
73,Juneau,US,2022-10-02 22:53:12,58.3019,-134.4197,52.11,100,41,1.86
74,Rundu,NA,2022-10-02 22:58:07,-17.9333,19.7667,69.91,21,0,5.64
75,Storforshei,NO,2022-10-02 22:58:07,66.4043,14.5233,49.66,93,100,2.3
76,Punta Arenas,CL,2022-10-02 22:55:15,-53.15,-70.9167,46.51,66,0,10.36
77,Mulchen,CL,2022-10-02 22:58:08,-37.7167,-72.2333,63.03,64,100,3.11
